episode,step,state,action,reward,sat1_packets,sat1_action,sat1_node,sat2_packets,sat2_action,sat2_node,transmitted_packets,total_packets
1,1,2-0,"(""pass-right-1"", ""transmit-1"")",-1.0,2,pass-right-1,1,0,transmit-1,1,0,2
1,2,1-1,"(""transmit-1"", ""transmit-1"")",7.999999999999999,1,transmit-1,2,1,transmit-1,2,0,2
1,3,1-0,"(""pass-right-1"", ""transmit-1"")",-1.0,1,pass-right-1,1,0,transmit-1,2,1,2
1,4,0-1,"(""pass-right-1"", ""transmit-1"")",8.8,0,pass-right-1,1,1,transmit-1,2,1,2
1,5,all-transmitted,"(""wait"", ""wait"")",0.0,0,wait,3,0,wait,2,2,2
2,1,2-0,"(""pass-right-1"", ""transmit-1"")",-1.0,2,pass-right-1,1,0,transmit-1,1,0,2
2,2,1-1,"(""transmit-1"", ""transmit-1"")",7.999999999999999,1,transmit-1,2,1,transmit-1,2,0,2
2,3,1-0,"(""transmit-1"", ""transmit-1"")",-0.8,1,transmit-1,2,0,transmit-1,2,1,2
2,4,1-0,"(""transmit-1"", ""transmit-1"")",-0.8,1,transmit-1,2,0,transmit-1,2,1,2
2,5,1-0,"(""transmit-1"", ""transmit-1"")",-0.8,1,transmit-1,2,0,transmit-1,2,1,2
2,6,1-0,"(""transmit-1"", ""transmit-1"")",-0.8,1,transmit-1,2,0,transmit-1,2,1,2
2,7,1-0,"(""transmit-1"", ""transmit-1"")",-0.8,1,transmit-1,2,0,transmit-1,2,1,2
2,8,1-0,"(""pass-right-1"", ""transmit-1"")",-1.0,1,pass-right-1,1,0,transmit-1,2,1,2
2,9,0-1,"(""pass-right-1"", ""transmit-1"")",8.8,0,pass-right-1,1,1,transmit-1,2,1,2
2,10,all-transmitted,"(""wait"", ""wait"")",0.0,0,wait,3,0,wait,2,2,2
3,1,2-0,"(""pass-right-1"", ""transmit-1"")",-1.0,2,pass-right-1,1,0,transmit-1,1,0,2
3,2,1-1,"(""transmit-1"", ""transmit-1"")",7.999999999999999,1,transmit-1,2,1,transmit-1,2,0,2
3,3,1-0,"(""transmit-1"", ""transmit-1"")",-0.8,1,transmit-1,2,0,transmit-1,2,1,2
3,4,1-0,"(""pass-right-1"", ""transmit-1"")",-1.0,1,pass-right-1,1,0,transmit-1,2,1,2
3,5,0-1,"(""pass-right-1"", ""transmit-1"")",8.8,0,pass-right-1,1,1,transmit-1,1,1,2
3,6,all-transmitted,"(""wait"", ""wait"")",0.0,0,wait,3,0,wait,2,2,2
